Player,2018/19,,,,,
Stephen Curry ,"$37,457,154 ",,,,,
Russell Westbrook ,"$35,665,000 ",,,,,
Chris Paul ,"$35,654,150 ",,,,,
LeBron James ,"$35,654,150 ",,,,,
Blake Griffin ,"$31,873,932 ",,,,,
Gordon Hayward ,"$31,214,295 ",,,,,
Kyle Lowry ,"$31,000,000 ",,,,,
James Harden ,"$30,570,000 ",,,,,
Paul George ,"$30,560,700 ",,,,,
Mike Conley ,"$30,521,115 ",,,,,
Kevin Durant ,"$30,000,000 ",,,,,
Paul Millsap ,"$29,230,769 ",,,,,
Al Horford ,"$28,928,710 ",,,,,
Damian Lillard ,"$27,977,689 ",,,,,
Carmelo Anthony ,"$27,928,140 ",,,,,
DeMar DeRozan ,"$27,739,975 ",,,,,
Chris Bosh ,"$26,837,720 ",,,,,
Jrue Holiday ,"$26,386,111 ",,,,,
Otto Porter ,"$26,011,913 ",,,,,
CJ McCollum ,"$25,759,766 ",,,,,
Nikola Jokic ,"$25,467,250 ",,,,,
Joel Embiid ,"$25,467,250 ",,,,,
Andrew Wiggins ,"$25,467,250 ",,,,,
Anthony Davis ,"$25,434,263 ",,,,,
Andre Drummond ,"$25,434,262 ",,,,,
Bradley Beal ,"$25,434,262 ",,,,,
Hassan Whiteside ,"$24,434,262 ",,,,,
Dwight Howard ,"$24,256,725 ",,,,,
Giannis Antetokounmpo ,"$24,157,304 ",,,,,
Steven Adams ,"$24,157,304 ",,,,,
Kevin Love ,"$24,119,025 ",,,,,
Marc Gasol ,"$24,119,025 ",,,,,
Chandler Parsons ,"$24,107,258 ",,,,,
Harrison Barnes ,"$24,107,258 ",,,,,
Nicolas Batum ,"$24,000,000 ",,,,,
Kawhi Leonard ,"$23,114,066 ",,,,,
DeAndre Jordan ,"$22,897,200 ",,,,,
Rudy Gobert ,"$22,741,573 ",,,,,
LaMarcus Aldridge ,"$22,347,015 ",,,,,
Serge Ibaka ,"$21,666,667 ",,,,,
Aaron Gordon ,"$21,590,909 ",,,,,
Danilo Gallinari ,"$21,587,579 ",,,,,
Victor Oladipo ,"$21,000,000 ",,,,,
Ryan Anderson ,"$20,421,546 ",,,,,
Joakim Noah ,"$20,261,172 ",,,,,
Kyrie Irving ,"$20,099,189 ",,,,,
Jabari Parker ,"$20,000,000 ",,,,,
Jimmy Butler ,"$19,841,627 ",,,,,
Zach LaVine ,"$19,500,000 ",,,,,
Allen Crabbe ,"$19,332,500 ",,,,,
Enes Kanter ,"$19,264,603 ",,,,,
Tyler Johnson ,"$19,245,370 ",,,,,
John Wall ,"$19,169,800 ",,,,,
Jeff Teague ,"$19,000,000 ",,,,,
George Hill ,"$19,000,000 ",,,,,
Klay Thompson ,"$18,988,725 ",,,,,
Wesley Matthews ,"$18,622,513 ",,,,,
Goran Dragic ,"$18,109,175 ",,,,,
Kent Bazemore ,"$18,089,888 ",,,,,
Evan Turner ,"$17,868,853 ",,,,,
Tristan Thompson ,"$17,469,565 ",,,,,
Draymond Green ,"$17,469,565 ",,,,,
Pau Gasol ,"$17,327,466 ",,,,,
Tim Hardaway Jr ,"$17,325,000 ",,,,,
Reggie Jackson ,"$17,043,478 ",,,,,
Bismack Biyombo ,"$17,000,000 ",,,,,
Evan Fournier ,"$17,000,000 ",,,,,
Derrick Favors ,"$16,900,000 ",,,,,
Luol Deng ,"$16,747,954 ",,,,,
Jonas Valanciunas ,"$16,539,326 ",,,,,
Gary Harris ,"$16,517,857 ",,,,,
Andre Iguodala ,"$16,000,000 ",,,,,
Timofey Mozgov ,"$16,000,000 ",,,,,
Ian Mahinmi ,"$16,000,000 ",,,,,
Clint Capela ,"$15,793,104 ",,,,,
Dennis Schroeder ,"$15,500,000 ",,,,,
DeMarre Carroll ,"$15,400,000 ",,,,,
Gorgui Dieng ,"$15,170,787 ",,,,,
Eric Bledsoe ,"$15,000,000 ",,,,,
Trevor Ariza ,"$15,000,000 ",,,,,
Tobias Harris ,"$14,800,000 ",,,,,
Ricky Rubio ,"$14,800,000 ",,,,,
JR Smith ,"$14,720,000 ",,,,,
Brandon Knight ,"$14,631,250 ",,,,,
James Johnson ,"$14,420,700 ",,,,,
Robin Lopez ,"$14,357,750 ",,,,,
Marvin Williams ,"$14,087,500 ",,,,,
Taj Gibson ,"$14,000,000 ",,,,,
Thaddeus Young ,"$13,764,045 ",,,,,
Tyson Chandler ,"$13,585,000 ",,,,,
Marcin Gortat ,"$13,565,218 ",,,,,
Cody Zeller ,"$13,528,090 ",,,,,
Eric Gordon ,"$13,500,375 ",,,,,
Kenneth Faried ,"$13,314,045 ",,,,,
Austin Rivers ,"$13,155,324 ",,,,,
Michael Kidd-Gilchrist ,"$13,000,000 ",,,,,
Khris Middleton ,"$13,000,000 ",,,,,
Mason Plumlee ,"$12,917,808 ",,,,,
Wilson Chandler ,"$12,800,562 ",,,,,
Solomon Hill ,"$12,763,467 ",,,,,
Nikola Vucevic ,"$12,750,000 ",,,,,
Dion Waiters ,"$12,705,000 ",,,,,
Joe Ingles ,"$12,545,455 ",,,,,
Kelly Olynyk ,"$12,537,527 ",,,,,
Jeremy Lin ,"$12,516,746 ",,,,,
Jordan Clarkson ,"$12,500,000 ",,,,,
Nikola Mirotic ,"$12,500,000 ",,,,,
Miles Plumlee ,"$12,400,000 ",,,,,
Tyreke Evans ,"$12,400,000 ",,,,,
Courtney Lee ,"$12,253,780 ",,,,,
JJ Redick ,"$12,250,000 ",,,,,
Kemba Walker ,"$12,000,000 ",,,,,
Kentavious Caldwell-Pope ,"$12,000,000 ",,,,,
Avery Bradley ,"$12,000,000 ",,,,,
Will Barton ,"$11,830,358 ",,,,,
TJ Warren ,"$11,750,000 ",,,,,
Zach Randolph ,"$11,692,308 ",,,,,
Patrick Mills ,"$11,571,429 ",,,,,
Alec Burks ,"$11,536,515 ",,,,,
Omer Asik ,"$11,286,516 ",,,,,
Marcus Smart ,"$11,160,716 ",,,,,
Jusuf Nurkic ,"$11,111,111 ",,,,,
Iman Shumpert ,"$11,011,234 ",,,,,
Moe Harkless ,"$10,837,079 ",,,,,
Tony Snell ,"$10,607,143 ",,,,,
Dante Exum ,"$10,600,000 ",,,,,
Meyers Leonard ,"$10,595,506 ",,,,,
John Henson ,"$10,577,466 ",,,,,
Bojan Bogdanovic ,"$10,500,000 ",,,,,
Mirza Teletovic ,"$10,500,000 ",,,,,
Terrence Ross ,"$10,500,000 ",,,,,
Robert Covington ,"$10,464,092 ",,,,,
Rudy Gay ,"$10,087,200 ",,,,,
Jon Leuer ,"$10,002,681 ",,,,,
Andre Roberson ,"$10,000,000 ",,,,,
Darren Collison ,"$10,000,000 ",,,,,
Danny Green ,"$10,000,000 ",,,,,
Dwight Powell ,"$9,631,250 ",,,,,
Matthew Dellavedova ,"$9,607,500 ",,,,,
Jared Dudley ,"$9,530,000 ",,,,,
Boban Marjanovic ,"$9,490,740 ",,,,,
Josh Richardson ,"$9,367,200 ",,,,,
