PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,,,,,,,,,,,,,,,,,,,,,,,
James Harden,HOU,29,71,45,26,37.2,36.2,10.8,24.8,43.8,4.8,13.3,36.2,9.7,11,87.7,0.8,5.6,6.5,7.5,5.1,2.1,0.8,3.2,58.9,30,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul George,OKC,28,71,42,29,36.7,28.2,9.2,20.9,44,3.8,9.8,38.8,6,7.2,83.8,1.3,6.8,8.1,4.1,2.7,2.2,0.5,2.8,49.4,23,1,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Stephen Curry,GSW,31,62,46,16,34.3,27.8,9.3,19.9,46.9,5.1,11.9,43.1,4,4.4,91.2,0.7,4.7,5.4,5.3,2.9,1.3,0.4,2.5,44.4,3,0,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,
LeBron James,LAL,34,54,27,27,35.3,27.4,10.1,19.9,50.8,2,5.9,33.4,5.1,7.7,66.6,1.1,7.5,8.6,8.2,3.5,1.3,0.6,1.7,52.3,32,8,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Joel Embiid,PHI,25,61,41,20,33.8,27.3,9,18.6,48.3,1.2,4,29.6,8.2,10.1,81.2,2.5,11.2,13.7,3.4,3.6,0.7,1.9,3.3,53,55,1,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Giannis Antetokounmpo,MIL,24,68,52,16,32.9,27.3,10,17.2,58.1,0.6,2.7,24.2,6.7,9.2,72.5,2.2,10.4,12.6,6,3.9,1.3,1.5,3.3,55.9,52,5,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawhi Leonard,TOR,27,55,37,18,34.3,27,9.4,18.9,49.7,1.9,5,37.5,6.3,7.3,85.9,1.3,6.1,7.4,3.3,2.1,1.9,0.4,1.5,45.6,14,0,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Durant,GSW,30,71,49,22,35.2,26.8,9.5,18.4,51.6,1.8,5.1,35.1,6.1,6.8,88.5,0.5,6.1,6.5,5.7,3,0.8,1.1,2,45.9,15,2,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Devin Booker,PHX,22,61,14,47,35.4,26.5,9.1,19.7,46.2,2.1,6.5,32.7,6.2,7.2,86.3,0.6,3.6,4.2,6.7,4.1,0.9,0.2,3.2,40.9,10,0,-5.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Damian Lillard,POR,28,73,46,27,35.5,26.2,8.6,19.2,44.9,3,8,37.1,6,6.6,91,0.9,3.7,4.6,6.8,2.6,1.1,0.4,1.9,43.9,11,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,
