Player,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF,,,,,,,
James Harden,72,35.4,30.4,9,20.1,44.9,3.7,10,36.7,8.7,10.1,85.8,0.6,4.8,5.4,8.8,1.8,0.7,4.4,30.1,,,,,,,
Anthony Davis,75,36.4,28.1,10.4,19.5,53.4,0.7,2.2,34,6.6,8,82.8,2.5,8.6,11.1,2.3,1.5,2.6,2.2,33,,,,,,,
LeBron James,82,36.9,27.5,10.5,19.3,54.2,1.8,5,36.7,4.7,6.5,73.1,1.2,7.5,8.6,9.1,1.4,0.9,4.2,32.7,,,,,,,
Damian Lillard,73,36.6,26.9,8.5,19.4,43.9,3.1,8.6,36.1,6.8,7.4,91.6,0.8,3.6,4.5,6.6,1.1,0.4,2.8,25,,,,,,,
Giannis Antetokounmpo,75,36.7,26.9,9.9,18.7,52.9,0.6,1.9,30.7,6.5,8.5,76,2.1,8,10,4.8,1.5,1.4,3,30.7,,,,,,,
Kevin Durant,68,34.2,26.4,9.3,18,51.6,2.5,6.1,41.9,5.3,5.9,88.9,0.5,6.4,6.8,5.4,0.7,1.8,3,28.6,,,,,,,
Russell Westbrook,80,36.4,25.4,9.5,21.1,44.9,1.2,4.1,29.8,5.2,7.1,73.7,1.9,8.2,10.1,10.3,1.8,0.3,4.8,29.5,,,,,,,
Kyrie Irving,60,32.2,24.4,8.9,18.1,49.1,2.8,6.8,40.8,3.9,4.4,88.9,0.6,3.2,3.8,5.1,1.1,0.3,2.3,22.7,,,,,,,
LaMarcus Aldridge,75,33.5,23.1,9.2,18,51,0.4,1.2,29.3,4.5,5.3,83.7,3.3,5.2,8.5,2,0.6,1.2,1.5,24.3,,,,,,,
Victor Oladipo,75,34,23.1,8.5,17.9,47.7,2.1,5.8,37.1,3.9,4.9,79.9,0.6,4.6,5.2,4.3,2.4,0.8,2.9,22.5,,,,,,,
DeMar DeRozan,80,33.9,23,8.1,17.7,45.6,1.1,3.6,31,5.8,7,82.5,0.7,3.2,3.9,5.2,1.1,0.3,2.2,20.5,,,,,,,
