PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P_pct,FTM,FTA,FT_pct,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,Change
James Harden,HOU,29,72,46,26,37.1,36.2,10.8,24.7,43.8,4.8,13.2,36.3,9.7,11.1,87.8,0.9,5.6,6.5,7.5,5,2.1,0.8,3.2,58.8,30,6,3.1
Paul George,OKC,28,71,42,29,36.7,28.2,9.2,20.9,44,3.8,9.8,38.8,6,7.2,83.8,1.3,6.8,8.1,4.1,2.7,2.2,0.5,2.8,49.4,23,1,6.4
Stephen Curry,GSW,31,62,46,16,34.3,27.8,9.3,19.9,46.9,5.1,11.9,43.1,4,4.4,91.2,0.7,4.7,5.4,5.3,2.9,1.3,0.4,2.5,44.4,3,0,8.8
Joel Embiid,PHI,25,62,42,20,33.7,27.5,9,18.6,48.5,1.2,4,30.3,8.3,10.2,81,2.5,11.2,13.7,3.5,3.6,0.7,1.9,3.3,53.3,56,1,5.8
Giannis Antetokounmpo,MIL,24,69,53,16,32.9,27.4,10,17.2,58,0.7,2.7,24.5,6.8,9.3,72.7,2.2,10.3,12.5,6,3.8,1.3,1.5,3.3,55.9,52,5,9
LeBron James,LAL,34,54,27,27,35.3,27.4,10.1,19.9,50.8,2,5.9,33.4,5.1,7.7,66.6,1.1,7.5,8.6,8.2,3.5,1.3,0.6,1.7,52.3,32,8,1.9
Kawhi Leonard,TOR,27,55,37,18,34.3,27,9.4,18.9,49.7,1.9,5,37.5,6.3,7.3,85.9,1.3,6.1,7.4,3.3,2.1,1.9,0.4,1.5,45.6,14,0,5.7
Kevin Durant,GSW,30,71,49,22,35.2,26.8,9.5,18.4,51.6,1.8,5.1,35.1,6.1,6.8,88.5,0.5,6.1,6.5,5.7,3,0.8,1.1,2,45.9,15,2,7.7
Devin Booker,PHX,22,61,14,47,35.4,26.5,9.1,19.7,46.2,2.1,6.5,32.7,6.2,7.2,86.3,0.6,3.6,4.2,6.7,4.1,0.9,0.2,3.2,40.9,10,0,-5.5
Damian Lillard,POR,28,73,46,27,35.5,26.2,8.6,19.2,44.9,3,8,37.1,6,6.6,91,0.9,3.7,4.6,6.8,2.6,1.1,0.4,1.9,43.9,11,0,6
Bradley Beal,WAS,25,76,31,45,37.6,26,9.4,19.8,47.6,2.6,7.4,35.4,4.5,5.6,81.1,1.1,4,5.1,5.5,2.8,1.5,0.7,2.9,44.3,11,2,-1.5
Anthony Davis,NOP,26,56,25,31,33,25.9,9.5,18.3,51.7,0.9,2.6,33.1,6.1,7.7,79.4,3.1,8.9,12,3.9,2,1.6,2.4,2.4,56.1,37,0,2.4
Kemba Walker,CHA,28,74,35,39,34.9,25.2,8.7,20.5,42.6,3.2,9,35.4,4.5,5.4,83.7,0.7,3.8,4.5,5.9,2.6,1.3,0.4,1.7,42,10,0,0.9
Karl-Anthony Towns,MIN,23,71,31,40,33.1,24.7,8.9,17.1,52.1,2,4.8,41.2,4.8,5.8,83.7,3.5,9.1,12.5,3.3,3,0.9,1.6,3.8,49.3,50,0,1
Blake Griffin,DET,30,72,38,34,35.2,24.7,8.3,18,46.3,2.5,6.9,35.8,5.5,7.3,74.9,1.4,6.3,7.7,5.5,3.4,0.7,0.4,2.7,41.8,21,2,0.9
Kyrie Irving,BOS,27,62,33,29,33.1,23.8,9.1,18.5,49,2.5,6.4,39.8,3.2,3.6,86.7,1.1,4,5.1,7.1,2.6,1.5,0.5,2.4,44.3,21,1,4.7
Zach LaVine,CHI,24,63,16,47,34.5,23.7,8.4,18,46.7,1.9,5.1,37.4,5,6,83.2,0.6,4,4.7,4.5,3.4,1,0.4,2.2,36.7,2,0,-4.8
Donovan Mitchell,UTA,22,71,44,27,33.6,23.3,8.5,19.8,42.8,2.4,6.8,35,3.9,4.9,79.4,0.8,3.3,4.1,4.1,2.9,1.4,0.4,2.7,36.7,1,0,4.2
Russell Westbrook,OKC,30,66,39,27,35.9,22.9,8.6,20.2,42.5,1.6,5.5,28.7,4.1,6.3,65.2,1.4,9.6,11,10.4,4.6,2,0.5,3.4,54.6,51,29,4
Klay Thompson,GSW,29,71,50,21,34.4,22.1,8.6,18.4,46.9,3.1,7.8,40.1,1.8,2.2,81.8,0.5,3.5,4,2.4,1.5,1.1,0.6,2.1,34.3,0,0,3.8
DeMar DeRozan,SAS,29,71,40,31,35.2,21.5,8.4,17.5,47.8,0.1,0.6,15.9,4.7,5.7,82.8,0.7,5.5,6.2,6.2,2.6,1.1,0.5,2.3,40.4,12,1,-0.6
CJ McCollum,POR,27,68,41,27,34.1,21.3,8.3,17.9,46.3,2.4,6.4,38,2.3,2.8,83.1,0.9,3.2,4,2.9,1.5,0.8,0.4,2.4,32.6,1,1,4.8
